ï»¿"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Lithocholic acid","Saccharomyces cerevisiae","105.5","93","BY4742","50 µM","Y","30405886"
"Thioflavin T","Caenorhabditis elegans","60","78","N2","50-100 µM","Y","21451522"
"Bacitracin","Caenorhabditis elegans","58.5","74","N2","0.01","Y","22114686"
"Acetaminophen","Caenorhabditis elegans","48.6","66","N2","0.10%","Y","22114686"
"Minocycline","Drosophila melanogaster","50","66","Oregon R","0.87 mM","Y","23185716"
"N-acetyl-L-cysteine","Caenorhabditis elegans","24.49","64","N2","9 mM","Y","27683245"
"Resveratrol","Nothobranchius furzeri","56","59","Gonarezhou","600 µg/g food","Y","16461283"
"Sorbitol","Caenorhabditis elegans","39.35","57.89","N2","500 mM","Y","26854551"
"Trimethadione","Caenorhabditis elegans","47","57","N2","4 mg/ml","Y","15653505"
"2-deoxy-D-glucose","Caenorhabditis elegans","12.93","56.49","N2","5 mM","Y","17908557"
"Dimethyl formamide","Caenorhabditis elegans","33","54","N2","0.0075","Y","23313473"
"Baicalein","Caenorhabditis elegans","36.7","52","N2","0.001","Y","22114686"
"Ciclopirox olamine","Caenorhabditis elegans","41","52","N2","0.0001","Y","22114686"
"Ascorbic acid","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 240 µg ascorbic acid","Y","19580823"
"Glutathione","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 360 µg glutathione","Y","19580823"
"Trimethadione","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 0.6mg trimethadione","Y","19580823"
"Nicotinamide","Saccharomyces cerevisiae","35.96","50","W303-1A","5 mM","Y","27320176"
"3,3-diethyl-2-pyrrolidinone","Caenorhabditis elegans","31","49","N2","2 mg/ml","Y","15653505"
"3,3-diethyl-2-pyrrolidinone","Caenorhabditis elegans","31","49","N2","2 mg/ml","Y","15653505"
"Curcumin","Drosophila melanogaster","49","49","Ra","100 mM","Y","23063786"
"Paraquat","Caenorhabditis elegans","58","48","N2","0.1 mM","Y","21151885"
"Aspirin","Mus musculus","8","47.2","UM-HET3","21 mg/kg food","Y","18631321"
"N-acetyl-L-cysteine","Caenorhabditis elegans","30.5","47.1","N2 CGCb strain","5 mM","Y","26039957"
"Mianserin","Caenorhabditis elegans","28.3","46","N2","50 µM","Y","26255886"
"Withanolide A","Caenorhabditis elegans","29.65","45.33","N2","5 µM","Y","26956478"
"N-acetyl-L-cysteine","Mus musculus","24","45","UM-HET3","10 g/L of water","Y","20819793"
"Sodium Chloride","Caenorhabditis elegans","40.53","44.44","N2","250 mM","Y","26854551"
"Sodium Chloride","Caenorhabditis elegans","40.53","44.44","N2","350 mM","Y","26854551"
"Protease treated royal jelly","Caenorhabditis elegans","18","44","N2","10 µg/ml","Y","21858156"
"Rhodiola rosea extract","Drosophila melanogaster","","42.9","","30 mg/mL every other day","ND","9825229"
"N-acetyl-L-cysteine","Caenorhabditis elegans","","42.9","N2","25 µL Liposomes + 100 µg NAC","Y","19580823"
"Valproic acid","Caenorhabditis elegans","35","42","N2","6 mM","Y","18248662"
"4-phenylbutyrate","Drosophila melanogaster","40","41","Canton S","5 mM","ND","11792861"
"Protocatechuic acid","Caenorhabditis elegans","38.9","40","N2","200 µM","Y","23780797"
"Dimethylaminoethyl p-chlorophenoxyacetate","Rattus norvegicus","27.3","39.7","Swiss","0.3g/L","Y","4147092"
"Curcumin","Drosophila melanogaster","46.8","38","Ra","100 mM","Y","23063786"
"Curcumin","Drosophila melanogaster","46.8","38","Ra","100 mM","Y","26136617"
"Trichostatin A","Drosophila melanogaster","27.3","37.9","Canton S","10 µM","Y","15346199"
"Trichostatin A","Drosophila melanogaster","23.3","37","Canton S","10 µM","Y","15346199"
"Ethosuximide","Caenorhabditis elegans","35","37","N2","4 mg/ml","Y","15653505"
"Ethosuximide","Caenorhabditis elegans","35","37","N2","4 mg/ml","Y","15653505"
"Resveratrol","Anastrepha ludens","8","36.3","","100 µM","N","19264118"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","55.7","36","Oregon R","20 µl/100 ml media","Y","20738162"
"Rapamycin","Caenorhabditis elegans","26","34.84","N2","100 µM","Y","24332851"
"East Indian sandalwood oil","Caenorhabditis elegans","26.36","34.78","N2","24 µ/mL","Y","30319772"
"Sodium hypophosphite","Zaprionus paravittiger","28.5","34.3","","1 mM","Y","3721207"
"Melatonin","Drosophila melanogaster","14","33","Oregon R","100 µg/ml","Y","11909680"
"Trimethadione","Caenorhabditis elegans","39","33","N2","4 mg/ml","Y","15653505"
"Resveratrol","Nothobranchius guentheri","23","32","TZ 97-2","100 µL","Y","22960591"
"Potassium Chloride","Caenorhabditis elegans","23.23","31.58","N2","250 mM","Y","26854551"
"Glycerol","Caenorhabditis elegans","33.55","31.58","N2","500 mM","Y","26854551"
"L-deprenyl","Mus musculus","3.9","31.2","B6CBAF1","0.25 mg/kg 3x/week","N","8914495"
"Rhodiola rosea extract","Drosophila melanogaster","24","31","","25 mg/mL","Y","19634056"
"Paraquat","Caenorhabditis elegans","23.73","30.77","N2","100 µM","Y","27683245"
"East Indian sandalwood oil","Caenorhabditis elegans","31.32","30.43","N2","24 µ/mL","Y","30319772"
"Buthus martensii Karsch Polypeptide Toxin","Caenorhabditis elegans","22.5","29.27","N2","Polypeptide DNA sequence inserted into the pGEX-4T-1 plasmid and transformed into pGEX-4T-1","Y","28088444"
"Resveratrol","Caenorhabditis elegans","50.8","29.2","N2","50 µM","Y","17460219"
"Trimethadione","Caenorhabditis elegans","24","29","N2","4 mg/ml","Y","15653505"
"Quercetin","Caenorhabditis elegans","18","29","N2","200 µM","Y","19043800"
"Rhodiola rosea extract","Drosophila melanogaster","","28.6","","30 mg/mL every other day","ND","9825229"
"Myxothiazol","Caenorhabditis elegans","32.3","28.6","N2","10 µM","Y","18221415"
"guarana ethanolic extract","Caenorhabditis elegans","36.36","28.57","N2","500 µg/mL","Y","29972429"
"guarana ethanolic extract","Caenorhabditis elegans","36.36","28.57","N2","1000 µg/mL","Y","29972429"
"Echinacea purpurea root","Mus musculus","","28","BALB/cByJ","2 mg/day","ND","16041619"
"4-dafachronic acid","Caenorhabditis elegans","16.6","28","N2","250 nM","Y","17360327"
"Isoprenol","Caenorhabditis elegans","25.26","28","N2","0.5 mM","Y","30624146"
"Sodium hypophosphite","Zaprionus paravittiger","28.1","27","","1 mM","Y","3721207"
"Butylated hydroxyanisole","Zaprionus paravittiger","15.1","27","","10 mM","Y","9207858"
"Resveratrol","Anastrepha ludens","-2.3","26.5","","100 µM","N","19264118"
"Phenformin","Mus musculus","21","26","C3H/Sn","2 mg, 5 times a week","Y","14618027"
"Quercetin","Caenorhabditis elegans","11","25","N2","100 µM","Y","19043800"
"Naphthazarin","Caenorhabditis elegans","22","25","N2","500 µM","Y","21765926"
"Curcumin","Drosophila melanogaster","-8.2","25","Ra","100 mM","Y","23063786"
"Curcumin","Drosophila melanogaster","16.3","25","Ra","100 mM","Y","23063786"
"Minocycline","Drosophila melanogaster","50","25","Oregon R","0.87 mM","Y","23185716"
"Protocatechuic acid","Caenorhabditis elegans","23","25","N2","100 µM","Y","23780797"
"Whole apple extract","Caenorhabditis elegans","39","25","N2","10 mg/ml","Y","23878618"
"β-Santalol","Caenorhabditis elegans","12.56","25","N2","16 µM","Y","30319772"
"β-Santalol","Caenorhabditis elegans","25.38","25","N2","16 µM","Y","30319772"
"Withanolide A","Caenorhabditis elegans","15.79","24.58","N2","25 µM","Y","26956478"
"N-acetyl-L-cysteine","Drosophila melanogaster","26.8","24.5","Oregon R","10 mg/ml","Y","9447249"
"Ethosuximide","Caenorhabditis elegans","13","24","N2","2 mg/ml","Y","15653505"
"Oxoline","Caenorhabditis elegans","12","24","N2","1 mM","Y","21765926"
"Oxoline","Caenorhabditis elegans","10","24","N2","1 mM","Y","21765926"
"Baicalein","Caenorhabditis elegans","45","24","N2","100 µM","ND","23339711"
"Fucoxanthin","Caenorhabditis elegans","14","24","N2","5 µM","Y","26292053"
"Blueberry extract","Caenorhabditis elegans","44.42","24","N2","200 mg/mL","Y","30238944"
"N-acetyl-L-cysteine","Caenorhabditis elegans","27.1","23.5","N2 CGCb strain","2 mM","Y","26039957"
"Trimethadione","Caenorhabditis elegans","41","23","N2","4 mg/ml","Y","15653505"
